1;2;3;4;5;6;7;8;9;;;;;;;
;;metales;Zinc, ? =7200 kg/m³;Zinc;7200;110;380;inf;inf;;;;;;
;;;---Plásticos---;;;;;;;;;;;;
;;Plásticos;Acrílico, ? =1050 kg/m³;Acrílico;1050;0,20;1500;10000;10000;;;;;;
;;Plásticos;Policarbonato, ? =1200 kg/m³;Policarbonato;1200;0,20;1200;5000;5000;;;;;;
;;Plásticos;Politetrafluoretileno (PTFE), ? =2200 kg/m³;Politetrafluoretileno (PTFE);2200;0,25;1000;10000;10000;;;;;;
;;Plásticos;Policloruro de vinilo (PVC), ? =1390 kg/m³;Policloruro de vinilo (PVC);1390;0,17;900;50000;50000;;;;;;
;;Plásticos;Polimetilmetacrilato (PMMA), ? =1180 kg/m³;Polimetilmetacrilato (PMMA);1180;0,18;1500;50000;50000;;;;;;
;;Plásticos;Poliacetato, ? =1410 kg/m³;Poliacetato;1410;0,30;1400;100000;100000;;;;;;
;;Plásticos;Poliamida (nylon), ? =1150 kg/m³;Poliamida (nylon);1150;0,25;1600;50000;50000;;;;;;
;;Plásticos;Poliamida 6,6 con 25% fibra de vidrio, ? =1450 kg/m³;Poliamida 6,6 con 25% fibra de vidrio;1450;0,30;1600;50000;50000;;;;;;
;;Plásticos;Polietileno/polietano, alta densidad, ? =980 kg/m³;Polietileno/polietano, alta densidad;980;0,50;1800;100000;100000;;;;;;
;;Plásticos;Polietileno/polietano, baja densidad, ? =920 kg/m³;Polietileno/polietano, baja densidad;920;0,33;2200;100000;100000;;;;;;
;;Plásticos;Poliestireno, ? =1050 kg/m³;Poliestireno;1050;0,16;1300;100000;100000;;;;;;
;;Plásticos;Polipropileno, ? =910 kg/m³;Polipropileno;910;0,22;1800;10000;10000;;;;;;
;;Plásticos;Polipropileno con 25% fibra de vidrio, ? =1200 kg/m³;Polipropileno con 25% fibra de vidrio;1200;0,25;1800;10000;10000;;;;;;
;;Plásticos;Poliuretano (PU), ? =1200 kg/m³;Poliuretano (PU);1200;0,25;1800;6000;6000;;;;;;
;;Plásticos;Resina epóxica, ? =1200 kg/m³;Resina epóxica;1200;0,20;1400;10000;10000;;;;;;
;;Plásticos;Resina fenólica, ? =1300 kg/m³;Resina fenólica;1300;0,30;1700;100000;100000;;;;;;
;;Plásticos;Resina poliéster, ? =1400 kg/m³;Resina poliéster;1400;0,19;1200;10000;10000;;;;;;
;;;---Caucho---;;;;;;;;;;;;
;;Caucho;Natural, ? =910 kg/m³;Natural;910;0,13;1100;10000;10000;;;;;;
;;Caucho;Neopreno (policloropreno), ? =1240 kg/m³;Neopreno (policloropreno);1240;0,23;2140;10000;10000;;;;;;
;;Caucho;Butilo, (isobutano), sólido/caliente derretido, ? =1200 kg/m³;Butilo, (isobutano), sólido/caliente derretido;1200;0,24;1400;200000;200000;;;;;;
;;Caucho;Espuma de caucho, ? =60-80 kg/m³;Espuma de caucho;60-80;0,06;1500;7000;7000;;;;;;
;;Caucho;Caucho duro (ebonita), sólido, ? =1200 kg/m³;Caucho duro (ebonita), sólido;1200;0,17;1400;inf;inf;;;;;;
;;Caucho;EPDM, ? =1150 kg/m³;EPDM;1150;0,25;1000;6000;6000;;;;;;
;;Caucho;Poliisobutileno, ? =930 kg/m³;Poliisobutileno;930;0,20;1100;10000;10000;;;;;;
;;Caucho;Polisulfuro, ? =1700 kg/m³;Polisulfuro;1700;0,40;1000;10000;10000;;;;;;
;;Caucho;Butadieno, ? =980 kg/m³;Butadieno;980;0,25;1000;100000;100000;;;;;;
;;;---Materiales sellantes, impermeabilizantes y otros---;;;;;;;;;;;;
;;Sellantes y otros;Gel de sílice (desecante), ? =720 kg/m³;Gel de sílice (desecante);720;0,13;1000;inf;inf;;;;;;
;;Sellantes y otros;Silicona, pura, ? =1200 kg/m³;Silicona, pura;1200;0,35;1000;5000;5000;;;;;;
;;Sellantes y otros;Silicona, rellena, ? =1450 kg/m³;Silicona, rellena;1450;0,50;1000;5000;5000;;;;;;
